headline,news_link,image_url
PM Shehbaz to lead Pakistan's delegation at UNGA session,https://radio.gov.pk/21-09-2025/pm-shehbaz-to-lead-pakistans-delegation-at-unga,https://newsimage.radio.gov.pk/20250921/21227032811758437782.jpg
"President, PM reaffirm commitment to peace, justice",https://radio.gov.pk/21-09-2025/president-pm-reaffirm-commitment-to-peace-justice,https://newsimage.radio.gov.pk/20250921/48784061758420746.jpg
Investing in youth vital to cement Pak-China ties: Zardari,https://radio.gov.pk/20-09-2025/investing-in-youth-vital-to-cement-pak-china-ties,https://newsimage.radio.gov.pk/20250920/1758377586.jpg
NDMA continuing relief operations in flood-hit areas,https://radio.gov.pk/21-09-2025/ndma-continuing-relief-operations-in-flood-hit-areas,https://newsimage.radio.gov.pk/20250921/21387151361758439289.jpg
"Political, military leadership working in unison: Sanaullah",https://radio.gov.pk/21-09-2025/political-military-leadership-working-in-unison-sanaullah,https://newsimage.radio.gov.pk/20250921/2934488811758421113.jpg
Delegation of Buddhist monks visit Badshahi Mosque,https://radio.gov.pk/21-09-2025/delegation-of-buddhist-monks-visit-badshahi-mosque,https://newsimage.radio.gov.pk/20250921/15899043371758433414.jpg
AJK Assembly adopts resolution commending Pak-Saudi defence agreement,https://radio.gov.pk/21-09-2025/ajk-assembly-adopts-resolution-commending-pakistan-saudi-arabia-defence-agreement,https://newsimage.radio.gov.pk/20250921/10661830111758427004.jpg
"Punjab Govt launches physical verification, geo-tagging of wheat stocks",https://radio.gov.pk/21-09-2025/punjab-govt-launches-physical-verification-geo-tagging-of-wheat-stocks,https://newsimage.radio.gov.pk/20250921/6612199711758427409.jpg
"Minister for Petroleum visits Jalalpur Pirwala, inspects flood-affected gas pipeline",https://radio.gov.pk/20-09-2025/minister-for-petroleum-visits-jalalpur-pirwala-inspects-flood-affected-gas-pipeline,https://newsimage.radio.gov.pk/20250920/699872691758362063.jpg
Saudi Arabia always supports Pakistan in difficult times: Sardar Saleem,https://radio.gov.pk/20-09-2025/saudi-arabia-always-supports-pakistan-in-difficult-times-sardar-saleem,https://newsimage.radio.gov.pk/20250920/18383690401758381482.jpg
Punjab CM launches 2nd phase of Green Tractor Program,https://radio.gov.pk/20-09-2025/punjab-cm-launches-2nd-phase-of-green-tractor-program,https://newsimage.radio.gov.pk/20250920/7413717281758376825.jpg
Tahir Ashrafi terms Pak-KSA defence agreement groundbreaking development,https://radio.gov.pk/20-09-2025/tahir-ashrafi-terms-pak-ksa-defence-agreement-groundbreaking-development,https://newsimage.radio.gov.pk/20250920/229321591758376045.jpg
Pakistan always welcomes Sikh pilgrims at their religious sites: Arora,https://radio.gov.pk/20-09-2025/pakistan-always-welcomes-sikh-pilgrims-at-their-religious-sites-arora,https://newsimage.radio.gov.pk/20250920/15641329271758374937.jpg
"KP govt, UNICEF sign MoU for achieving SDGs in province",https://radio.gov.pk/20-09-2025/kp-govt-unicef-sign-mou-for-achieving-sgds-in-province,https://newsimage.radio.gov.pk/20250920/1650640131758376233.jpg
CM vows to utilize resources for modern medical facilities in Punjab,https://radio.gov.pk/20-09-2025/cm-vows-to-utilize-resources-for-modern-medical-facilities-in-punjab,https://newsimage.radio.gov.pk/20250920/6555107051758356370.jpg
Naval Chief inaugurates Dental College and Hospital in Karachi,https://radio.gov.pk/19-09-2025/naval-chief-inaugurates-dental-college-at-bahria-university,https://newsimage.radio.gov.pk/20250919/7276298411758302184.jpg
Pakistan calls for ending external aggression against Syria,https://radio.gov.pk/19-09-2025/pakistan-calls-for-ending-external-aggression-against-syria,https://newsimage.radio.gov.pk/20250919/14750664701758301323.jpg
"Asia Cup, Super 4: Pakistan to take on India today",https://radio.gov.pk/21-09-2025/asia-cup-super-4-pakistan-to-take-on-india-today,
"Pakistan beat Maldives 5-2, close in on semifinals at SAFF U-17 Championship",https://radio.gov.pk/19-09-2025/pakistan-beat-maldives-5-2-close-in-on-semifinals-at-saff-u-17-championship,
SAFF U-17 Football: Pakistan beat Bhutan by 4-0,https://radio.gov.pk/18-09-2025/saff-u-17-football-pakistan-beat-bhutan-by-4-0,
T20 Asia Cup: Pakistan beat UAE by 41 runs in Dubai,https://radio.gov.pk/18-09-2025/t20-asia-cup-pakistan-beat-uae-by-41-runs-in-dubai,
Death anniversary of Qawwal Maqbool Sabri today,https://radio.gov.pk/21-09-2025/death-anniversary-of-qawwal-maqbool-sabri-today,
Death anniversary of Punjabi folk singer Tufail Niazi today,https://radio.gov.pk/21-09-2025/death-anniversary-of-punjabi-folk-singer-tufail-niazi-today,
Death anniversary of Mir Taqi Mir observed,https://radio.gov.pk/20-09-2025/death-anniversary-of-mir-taqi-mir-being-observed-today,
Pakistani sound engineer Taurees Habib wins Grammy Award,https://radio.gov.pk/17-09-2025/pakistani-sound-engineer-taurees-habib-wins-grammy-award,
Govt removes human involvement in medical devices’ registration,https://radio.gov.pk/20-09-2025/govt-removes-human-involvement-in-medical-devices-registration,
World Patient Safety Day observed,https://radio.gov.pk/17-09-2025/world-patient-safety-day-being-observed-today,
Int’l Day for Preservation of Ozone Layer observed,https://radio.gov.pk/16-09-2025/intl-day-for-the-preservation-of-the-ozone-layer-being-observed-today,
Govt committed to address issue of slow internet services: Shaza,https://radio.gov.pk/13-09-2025/govt-committed-to-address-issue-of-slow-internet-services-shaza,
IIOJK: Indian forces launch series of search operations in various districts,https://radio.gov.pk/20-09-2025/iiojk-indian-forces-launch-series-of-search-operations-in-various-districts,
91 more Palestinians martyred by Israeli forces in Gaza,https://radio.gov.pk/21-09-2025/91-more-palestinians-martyred-by-israeli-forces-in-gaza,
Indian exports constantly declining due to poor policies of Modi govt,https://radio.gov.pk/13-09-2025/indian-exports-constantly-declining-due-to-poor-policies-of-modi-govt,
President Zardari urges Serene Air to expand aircraft fleet,https://radio.gov.pk/20-09-2025/president-zardari-urges-serene-air-to-expand-aircraft-fleet,
President Zardari visits Kashgar Free Trade Zone,https://radio.gov.pk/20-09-2025/president-zardari-visits-kashgar-free-trade-zone,
PSX: KSE-100 Index hits record high,https://radio.gov.pk/19-09-2025/psx-kse-100-index-hits-record-high,
Cheema reaffirms commitment to fostering business-friendly ecosystem,https://radio.gov.pk/18-09-2025/economic-affairs-minister-reaffirms-governments-commitment-to-fostering-business-friendly-ecosystem,
Met Office predicts mainly hot & dry weather,https://radio.gov.pk/21-09-2025/met-office-predicts-mainly-hot-dry-weather,
"Mainly hot, dry weather likely to prevail in most parts of country",https://radio.gov.pk/20-09-2025/mainly-hot-dry-weather-likely-to-prevail-in-most-parts-of-country,
"Rain with windstorm, thundershower likely in upper parts",https://radio.gov.pk/19-09-2025/rain-with-windstorm-thundershower-likely-in-upper-parts,
NDMA warns of widespread rain in various parts of Punjab,https://radio.gov.pk/18-09-2025/ndma-warns-of-widespread-rain-with-thunderstorms-in-various-parts-of-punjab,
"Analyst hails Pakistan’s just stance on the issue of snapback sanctions against Iran
      news analysis
    ",https://radio.gov.pk/20-09-2025/analyst-hails-pakistans-just-stance-on-snapback-sanctions-against-iran,https://newsimage.radio.gov.pk/20250920/17990923001758390945.jpg
